what,kind,bundleId,bundleVersion,description,time
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile7080575362104110258.jar",1405468494674
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile4298767860144405462.jar",1405468494705
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile8190155376848986730.jar",1405468497143
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile4721374608953323226.jar",1405468499690
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile6349213204661669200.jar",1405468500675
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile2790448728745702439.jar",1405468501097
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile5471089116257242167.jar",1405468503191
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile2283081483727502857.jar",1405468503285
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile4424141507957328559.jar",1405468505348
error,log,,,"Either the manifest file or the signature file has been tampered in this jar: C:\\Users\\hefang\\AppData\\Local\\Temp\\signatureFile1442620340930834154.jar",1405468516506
error,log,,,"An error occurred while collecting items to be installed",1405468521820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405468531399
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405468534509
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1405468534509
started,bundle,org.codehaus.groovy.eclipse.dsl,2.8.0.xx-20130703-1500-e37-RELEASE,"org.codehaus.groovy.eclipse.dsl",1405468534744
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1405468540901
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1405468543058
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1405468543214
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1405468543542
started,bundle,org.codehaus.groovy.eclipse.ui,2.8.0.xx-20130703-1500-e37-RELEASE,"org.codehaus.groovy.eclipse.ui",1405468543542
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1405468568328
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1405468568703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405468576549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405469534591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405469536279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405469567973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405469569192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405469657726
started,bundle,org.eclipse.dltk.ruby.core,3.0.0.v20110423,"org.eclipse.dltk.ruby.core",1405469662242
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1405469662399
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1405469662430
started,bundle,org.python.pydev.shared_ui,2.7.3.2013031601,"org.python.pydev.shared_ui",1405469663633
started,bundle,org.python.pydev.shared_core,2.7.3.2013031601,"org.python.pydev.shared_core",1405469663680
started,bundle,org.python.pydev.debug,2.7.3.2013031601,"org.python.pydev.debug",1405469663789
started,bundle,org.python.pydev.core,2.7.3.2013031601,"org.python.pydev.core",1405469665087
started,bundle,com.python.pydev.analysis,2.7.3.2013031601,"com.python.pydev.analysis",1405469665290
started,bundle,org.python.pydev,2.7.3.2013031601,"org.python.pydev",1405469665399
started,bundle,org.python.pydev.shared_interactive_console,2.7.3.2013031601,"org.python.pydev.shared_interactive_console",1405469665696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405469666227
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405469668978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405469669025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405470602367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405470603398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405490794065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405490796800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405490798737
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405490800159
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1405490802894
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1405494657422
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1405494657422
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1405494657422
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1405494657469
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1405494657469
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1405494657469
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1405494657469
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1405494657469
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1405494657469
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1405494657469
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1405494657469
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1405494657469
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1405494657469
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1405494657469
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1405494657532
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1405494657547
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1405494657547
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1405494657547
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1405494657547
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1405494657547
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1405494657547
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1405494657547
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1405494657547
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1405494657547
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1405494657563
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1405494657563
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1405494657563
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1405494657563
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1405494657563
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1405494657563
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1405494657563
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1405494657563
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1405494657579
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1405494657579
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1405494657579
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1405494657610
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1405494657610
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1405494657610
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1405494657610
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1405494657610
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1405494657610
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1405494657688
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1405494657750
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1405494657750
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1405494657750
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1405494657766
